model,dependent_var,variable,coef,t_stat,p_value,n_obs,r2
pooled_linear,CAR60,const,-0.23610544533489286,-2.347086223236453,0.01892087568439575,975,0.029158768097690024
pooled_linear,CAR60,es_winsorized,-1.7634901334516878e-05,-1.229302999690057,0.21895822303291146,975,0.029158768097690024
pooled_linear,CAR60,log_size,0.023076538513606387,3.15761835538868,0.0015906365180295941,975,0.029158768097690024
pooled_linear,CAR60,beta,-0.07398359784193899,-4.123022404543069,3.7393331184492644e-05,975,0.029158768097690024
guidance_initial_linear,CAR60,const,-0.23265190603613306,-2.29601992780964,0.02167474198484761,970,0.02881571652712922
guidance_initial_linear,CAR60,es_winsorized,-1.686258470970196e-05,-1.1612625567006,0.2455351416380428,970,0.02881571652712922
guidance_initial_linear,CAR60,log_size,0.02283860945493644,3.100528059924214,0.0019317590965353254,970,0.02881571652712922
guidance_initial_linear,CAR60,beta,-0.07398279305330396,-4.11419705157676,3.88529441114958e-05,970,0.02881571652712922
guidance_upward_revision_linear,CAR60,insufficient_obs,,,,5,
pooled_quadratic,CAR60,const,-0.23895909316329544,-2.376589377057075,0.01747352763667197,975,0.03212300481977948
pooled_quadratic,CAR60,es_winsorized,-2.1729448076288233e-06,-0.11946169671324866,0.9049095842708651,975,0.03212300481977948
pooled_quadratic,CAR60,es_winsorized_sq,1.329619198604253e-08,1.742915340137138,0.0813484040531912,975,0.03212300481977948
pooled_quadratic,CAR60,log_size,0.023052887957561406,3.1560183893182994,0.0015993877648817852,975,0.03212300481977948
pooled_quadratic,CAR60,beta,-0.07325999460415297,-4.068126354976553,4.739268140380141e-05,975,0.03212300481977948
pooled_interaction,CAR60,const,-0.2345177962927585,-2.321197076494163,0.02027620990386368,975,0.02939696068960429
pooled_interaction,CAR60,es_winsorized,-1.6894232233634122e-05,-1.1634612259161234,0.24464242100662537,975,0.02939696068960429
pooled_interaction,CAR60,positive_revision_dummy,0.01325766125950403,0.13588405573443355,0.8919129402365951,975,0.02939696068960429
pooled_interaction,CAR60,es_x_revision,-6.338500186087256e-05,-0.27690480096466785,0.7818532060555808,975,0.02939696068960429
pooled_interaction,CAR60,log_size,0.022981813484794493,3.1304961258271637,0.001745113011563257,975,0.02939696068960429
pooled_interaction,CAR60,beta,-0.07416405039924387,-4.129541324731616,3.634876670016184e-05,975,0.02939696068960429
